tweet_id,retweet_count,favorite_count
848324959059550208,4515,24250
848213670039564288,712,8039
848212111729840128,2965,16037
847978865427394560,3183,0
847971574464610304,422,0
847962785489326080,4959,23131
847842811428974592,1296,5343
847617282490613760,404,6871
847606175596138505,3359,18482
847251039262605312,4231,20193
847157206088847362,5741,19594
847116187444137987,3119,21155
846874817362120707,3852,19802
846514051647705089,11319,43959
846505985330044928,3013,13907
846153765933735936,8865,31144
846139713627017216,9843,30625
846042936437604353,2809,15760
845812042753855489,8534,28841
845677943972139009,4714,24871
845397057150107648,1771,7534
845306882940190720,5301,23047
845098359547420673,7522,0
844979544864018432,2512,13466
844973813909606400,3133,14895
844580511645339650,3071,16287
844223788422217728,2163,13504
843981021012017153,2904,15016
843856843873095681,4556,21224
843604394117681152,2699,16712
843235543001513987,5935,21300
842846295480000512,3590,15131
842765311967449089,1260,6661
842535590457499648,3462,17945
842163532590374912,5710,24209
842115215311396866,2996,13859
841833993020538882,14877,0
841680585030541313,7722,25518
841439858740625411,3646,12543
841320156043304961,5438,19649
841314665196081154,4601,15708
841077006473256960,5250,22671
840761248237133825,1747,0
840728873075638272,15939,0
840698636975636481,2,174
840696689258311684,963,12198
840632337062862849,1747,8934
840370681858686976,4494,16341
840268004936019968,5666,19129
839990271299457024,2254,13334
839549326359670784,7672,27292
839290600511926273,141,0
839239871831150596,6467,26956
838952994649550848,3958,19551
838921590096166913,2045,11084
838916489579200512,35,0
838831947270979586,10911,0
838561493054533637,1322,10894
838476387338051585,4735,22396
838201503651401729,9967,0
838150277551247360,329,1667
838085839343206401,1,138
838083903487373313,3111,17537
837820167694528512,7800,33942
837482249356513284,441,3834
837471256429613056,2259,12736
837110210464448512,2350,16003
836989968035819520,2279,12723
836753516572119041,4616,19250
836677758902222849,2215,12573
836648853927522308,554,0
836397794269200385,27360,0
836380477523124226,2973,14717
836260088725786625,4277,21247
836001077879255040,4234,19034
835685285446955009,8086,0
835574547218894849,3602,17745
835536468978302976,1690,0
835309094223372289,20837,0
835297930240217089,2997,16434
835264098648616962,1690,7714
835246439529840640,73,2092
835172783151792128,5743,26103
835152434251116546,3001,22357
834931633769889797,1636,10782
834786237630337024,5470,21328
834574053763584002,2524,13634
834477809192075265,10612,0
834458053273591808,1676,9603
834209720923721728,4739,20553
834167344700198914,3649,15801
834089966724603904,2131,10038
834086379323871233,2200,13053
833863086058651648,2403,13417
833826103416520705,3761,18057
833732339549220864,221,0
833722901757046785,3215,20785
833479644947025920,2046,14841
833124694597443584,4825,20198
832998151111966721,2201,13251
832769181346996225,39,0
832757312314028032,3614,16868
832682457690300417,2905,11868
832645525019123713,531,2921
832636094638288896,2777,15852
832397543355072512,2217,11970
832369877331693569,3183,17194
832273440279240704,2338,11358
832215909146226688,6204,0
832215726631055365,9316,0
832088576586297345,2,62
832040443403784192,9620,0
832032802820481025,4656,17877
831939777352105988,6129,23994
831926988323639298,34,335
831911600680497154,6502,27627
831670449226514432,1816,10448
831650051525054464,1929,7137
831552930092285952,2315,8988
831322785565769729,1552,9276
831315979191906304,1127,6543
831309418084069378,2466,11777
831262627380748289,2047,11919
830956169170665475,1501,7976
830583320585068544,16785,66895
830173239259324417,5689,0
830097400375152640,2948,9807
829878982036299777,5020,0
829861396166877184,1950,12261
829501995190984704,10612,31800
829449946868879360,2026,10489
829141528400556032,7354,24437
829011960981237760,16329,53259
828801551087042563,3426,0
828770345708580865,5874,25634
828708714936930305,11194,36598
828650029636317184,1352,9522
828409743546925057,1167,6363
